帳單年度,帳單月份,公司,賠案號碼,保單號碼,簽單年度,保單起日,保單迄日,被保險人姓名,被保險人身分證號,被保險人出生日期,出險日,出險原因,決賠日,身故殘廢保險保額,實支醫療保險保額,日額,身故殘廢賠款金額,實支醫療賠款金額,日額,理賠費用,已決賠款 合計
115,5,N05,CPP002603994,0026CT200K8761,115,1150425,1150427,陳宥蓁,Z200132690,0671116,1150426,其他及未明示之跌落（含跌倒）,1150604,1000000,0,0,3000,0,0,0,3000
115,5,N05,CPA042609231,0425CT09H34640,114,1141227,1141228,曾思維,N125640824,0830802,1141227,其他之環境及意外因素,1150623,1000000,0,0,26146,0,0,0,26146
115,5,N05,CPA062604677,0626CT09K00950,115,1150514,1150516,潘玟潔,F229057287,0860822,1150515,自然及環境因素-動物所致之其他傷害(非貓犬咬傷),1150610,1000000,0,0,1250,0,0,0,1250
115,5,N05,CPP002604792,0026CT200M8379,115,1150502,1150503,謝淑英,M220919147,0540304,1150503,其他及未明示之跌落（含跌倒）,1150630,1000000,0,0,1400,0,0,0,1400
115,5,N05,CPA062604554,0626CT09K00834,115,1150502,1150503,林育安,Q123934478,0830321,1150502,墜落或跌倒-其他由某一高度跌至另一高度,1150609,1000000,0,0,5009,0,0,0,5009
115,5,N05,CPA002613891,2525CT2WB10799,114,1141023,1141030,林淑華,A223862994,0620508,1141026,墜落或跌倒-其他由某一高度跌至另一高度,1150601,1000000,0,0,7150,0,0,0,7150
115,5,N05,CPA002616186,0326CT09H03255,115,1150521,1150526,吳易霖,F122008382,0550801,1150525,被物體或人意外撞擊或擊中(碰撞),1150623,1000000,0,0,17881,0,0,0,17881
115,5,N05,CPA042608177,2026CT00000851,115,1150430,1150504,宋亦?,T120903616,0630515,1150503,其他及未明示之跌落（含跌倒）,1150603,1000000,0,0,250,0,0,0,250
115,5,N05,CPA002616145,2525CT00000688,114,1140215,1140217,許芝瑜,D221593042,0721218,1140215,被物體或人意外撞擊或擊中(碰撞),1150630,1000000,0,0,4050,0,0,0,4050
115,5,N05,CPA062604742,0524CT09H03808,113,1130721,1130723,楊美芬,E221117749,0481108,1130722,其他及未明示之跌落（含跌倒）,1150616,1000000,0,0,31430,0,0,0,31430
115,5,N05,CPA002613828,0026CT00000986,115,1150207,1150209,林紀滿瓊,L202762309,0441210,1150208,於同一水平面上滑倒、摔倒或絆倒,1150601,1000000,0,0,97441,0,0,0,97441
115,5,N05,CPA002613472,2224CT09H01297,113,1130706,1130708,施美秀,A221819100,0531111,1130706,自然及環境因素-動物所致之其他傷害(生物咬傷),1150601,1000000,0,0,1030,0,0,0,1030
115,5,N05,CPP002604377,0126CT09K00218,115,1150521,1150522,廖月琴,C220686181,0480709,1150521,於同一水平面上滑倒、摔倒或絆倒,1150616,1000000,0,0,700,0,0,0,700
115,5,N05,CPA002610950,2225CT09K00456,114,1141207,1141211,蔡文文,J220090109,0611030,1141210,高空所致之其他影響(高山病),1150605,1000000,0,0,0,0,0,985,985
